,Video_id,Title,No_of_views,No_of_comments,No_of_likes
0,waJKJW_XU90,Avatar: The Last Airbender | Official Teaser | Netflix,12685568,28862,305437
1,6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),2393866,478,18413
2,d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,58114761,43096,1042794
3,nsO1isT60h8,Destruction of Home Tree - AVATAR (4k Movie Clip),473176,610,3743
4,5PSNL1qE6VY,Avatar | Official Trailer (HD) | 20th Century FOX,12788471,8939,81202
5,QohBlL3WurE,Training with the Ikran - AVATAR (4k Movie Clip),217793,65,2868
6,-pDP5K-xW2Y,Jake vs Colonel Quaritch - AVATAR (4k Movie Clip),823929,423,6995
7,Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),503854,208,4989
8,VjIdoK0xM5E,Neytiri and Jake vs Quaritch - Final Battle Scene - Avatar (2009) Movie Clip HD,1175880,123,4323
9,PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),42425515,1310,200736
10,3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),5346177,674,23096
11,ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),1283075,857,16790
12,YXtWPVFk5TQ,Avatar 3  Official Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,3183346,1421,39128
13,a8Gx8wiNbs8,Avatar: The Way of Water | Official Teaser Trailer,27754285,29022,682449
14,TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),288246,170,3663
15,WDFr1O_GeAQ,Avatar (2009) - Best Scenes,2328807,635,17983
16,jbncrh_3NfM,The Final Battle (Part 3) - AVATAR (4k Movie Clip),567770,199,4835
17,BY3QEuQ8Mnc,Jake and Neytiri Kiss under the Tree of Voices - AVATAR (4k Movie Clip),2603983,1232,27250
18,ZM2k1UmcCXg,"AVATAR Clip - ""Ikran"" (2009)",28520305,2209,163640
19,V67Ytgs6KJo,Avatar: First Movie RECAP,609496,318,10335
20,2u9ApB0sWxw,"AVATAR RECAP: Everything You need to Know Before ""Way of Water""",579173,322,8995
21,0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,32299501,3675,191726
22,oFErWcXJLdw,TRAINING TO BE IN THE NEXT AVATAR MOVIE,2530111,1666,49513
23,Hj6JCTAqFOo,AVATAR 3 Full Movie 2023 Fallen Kingdom HD,59211,10,227
24,noVddIRzn3o,Sander VS Avatar Jake Sully #sandervs #satisfying #avatar,148661814,3281,1152165
25,5A6anrwecHM,Jake tames his Ikran - AVATAR (4k Movie Clip),358400,77,3194
26,mdhEj_rG80Y,AVATAR - Movie Behind the Scenes | Making of,2905101,134,8108
27,zpSueMIfc2k,"AVATAR Clip - ""Awake"" (2009) James Cameron",13113502,754,54028
28,Xkw96oC3LnI,First Look at Team Avatar Movie Poster (2025),363649,1193,32277
29,nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,1823711,593,21173
30,f5Zx8iPek5I,Avatar 3 Will Introduce The Dark Side🔥 Of Na'vi…!?😮,7714718,3997,350105
31,QOg9LUIvaig,"AVATAR: THE LAST AIRBENDER | Water, Earth, Fire, Air | Netflix",3254195,3975,55143
32,reyjhdQRRcs,"AVATAR Clip - ""The Tree Of Voices"" (2009)",3443042,873,27871
33,Ehf6iESkLMk,Avatar 2: The Way Of Water - All Clips From The Movie (2022),2109517,137,10609
34,HR2kbOK8i6I,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,10143229,0,78330
35,u3_Uhq6qxhU,AVATAR: THE LAST AIRBENDER Official First Look (2024) Netflix Live Action Trailer,784446,1079,6142
36,RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,429319,4036,25859
37,uLbnhYxh5Uk,Avatar The Way Of Water full movie :2023 || official movie|| 2022,39906,4,111
38,vKGmPu04mE8,Avatar 2 Final Battle Full HD - Jake vs Quaritch[Video 4K],1249313,132,6137
39,7wvY-Yxkyr8,*NEW* Netflix's Avatar Live Action Trailer Reaction + Breakdown,55167,283,2780
40,cN0kUKNBfxE,Avatar 2009 - The Final Battle - Best Fight Scenes FULL HD,3203263,641,27273
41,Cimy6T1nczw,Avatar Scenes Without CGI,16183832,1631,120693
42,U7cVZD0idBw,The Avatar wins a war with a Tsunami | The Last Airbender | CLIP,2385291,739,18332
43,TKndKigKkss,Avatar the Last Airbender movie coming 2024! #avatar #avatarthelastairbender #movie #nickelodeon,264875,214,16312
44,kHNCaWjB-98,Zoe Saldana Performance Capture | AVATAR (2009) Before & After CGI #shorts,24088256,3183,1021049
45,KW58e84rMko,War Scene Final Battle | Avatar (2009) | Movie Clip,584080,979,6359
46,AIFslK-0USk,AVATAR: THE LAST AIRBENDER TRAILER REACTION!! Netflix Live Action Teaser Trailer 2024,84868,382,5347
47,BI10MPZlTxk,Overanalyzing Netflix's Live Action ATLA Teaser Trailer,204877,1261,17146
48,3b7sKh_QIbQ,Avatar: The Last of the Airbenders - Part One | Fan Film | JNJ Studios,3523741,797,31344
49,2r71I8lvTIA,The Last Airbender Film: How it Disrespected a Great Series (Avatar Video Essay),5116175,27173,154703
